Subject	Object
ORPHANET.ORDO:101077	ORPHANET.ORDO:64747
ORPHANET.ORDO:101078	ORPHANET.ORDO:140462
ORPHANET.ORDO:101078	ORPHANET.ORDO:64747
ORPHANET.ORDO:101081	owl:Thing
ORPHANET.ORDO:101082	owl:Thing
ORPHANET.ORDO:101083	owl:Thing
ORPHANET.ORDO:101084	owl:Thing
ORPHANET.ORDO:101085	owl:Thing
ORPHANET.ORDO:101088	ORPHANET.ORDO:183663
ORPHANET.ORDO:101089	ORPHANET.ORDO:183666
ORPHANET.ORDO:101090	ORPHANET.ORDO:183663
ORPHANET.ORDO:101091	ORPHANET.ORDO:183666
ORPHANET.ORDO:101092	ORPHANET.ORDO:183666
ORPHANET.ORDO:101097	ORPHANET.ORDO:324442
ORPHANET.ORDO:1010	ORPHANET.ORDO:79373
ORPHANET.ORDO:1010	ORPHANET.ORDO:98352
ORPHANET.ORDO:101101	owl:Thing
ORPHANET.ORDO:101102	MONDO:0018993
ORPHANET.ORDO:101104	owl:Thing
ORPHANET.ORDO:101108	ORPHANET.ORDO:94145
ORPHANET.ORDO:101109	ORPHANET.ORDO:35696
ORPHANET.ORDO:101109	ORPHANET.ORDO:94145
ORPHANET.ORDO:101110	ORPHANET.ORDO:94145
ORPHANET.ORDO:101111	ORPHANET.ORDO:94145
ORPHANET.ORDO:101112	ORPHANET.ORDO:94148
ORPHANET.ORDO:101150	ORPHANET.ORDO:255
ORPHANET.ORDO:101150	ORPHANET.ORDO:284818
ORPHANET.ORDO:101150	ORPHANET.ORDO:309819
ORPHANET.ORDO:101330	ORPHANET.ORDO:95161
ORPHANET.ORDO:101330	ORPHANET.ORDO:98696
ORPHANET.ORDO:101351	ORPHANET.ORDO:108971
ORPHANET.ORDO:101351	ORPHANET.ORDO:179006
ORPHANET.ORDO:101435	EFO:0000508
ORPHANET.ORDO:101435	EFO:0003966
ORPHANET.ORDO:1014	ORPHANET.ORDO:79364
ORPHANET.ORDO:101685	ORPHANET.ORDO:183757
ORPHANET.ORDO:1018	ORPHANET.ORDO:263756
ORPHANET.ORDO:1018	ORPHANET.ORDO:93550
ORPHANET.ORDO:101934	ORPHANET.ORDO:98054
ORPHANET.ORDO:101940	ORPHANET.ORDO:156601
ORPHANET.ORDO:101953	ORPHANET.ORDO:156638
ORPHANET.ORDO:101953	ORPHANET.ORDO:309005
ORPHANET.ORDO:101957	ORPHANET.ORDO:183628
ORPHANET.ORDO:101960	ORPHANET.ORDO:183637
ORPHANET.ORDO:101972	ORPHANET.ORDO:179006
ORPHANET.ORDO:101977	ORPHANET.ORDO:179006
ORPHANET.ORDO:101987	ORPHANET.ORDO:101988
ORPHANET.ORDO:101988	MONDO:0003778
ORPHANET.ORDO:101992	ORPHANET.ORDO:101988
ORPHANET.ORDO:101997	owl:Thing
ORPHANET.ORDO:101	ORPHANET.ORDO:94149
ORPHANET.ORDO:101	MONDO:0015548
ORPHANET.ORDO:102009	ORPHANET.ORDO:48471
ORPHANET.ORDO:102010	ORPHANET.ORDO:48471
ORPHANET.ORDO:102011	ORPHANET.ORDO:48471
ORPHANET.ORDO:102012	ORPHANET.ORDO:685
ORPHANET.ORDO:102013	ORPHANET.ORDO:685
ORPHANET.ORDO:102014	ORPHANET.ORDO:263
ORPHANET.ORDO:102015	ORPHANET.ORDO:263
ORPHANET.ORDO:102020	ORPHANET.ORDO:98127
ORPHANET.ORDO:1020	ORPHANET.ORDO:276058
ORPHANET.ORDO:1020	MONDO:0004975
ORPHANET.ORDO:1020	MONDO:0015547
ORPHANET.ORDO:1021	ORPHANET.ORDO:71862
ORPHANET.ORDO:102283	ORPHANET.ORDO:183533
ORPHANET.ORDO:102373	ORPHANET.ORDO:183586
ORPHANET.ORDO:1023	ORPHANET.ORDO:2222
ORPHANET.ORDO:1027	ORPHANET.ORDO:404574
ORPHANET.ORDO:1028	ORPHANET.ORDO:79373
ORPHANET.ORDO:1031	owl:Thing
ORPHANET.ORDO:1032	ORPHANET.ORDO:79166
ORPHANET.ORDO:1034	ORPHANET.ORDO:294929
ORPHANET.ORDO:1035	ORPHANET.ORDO:183500
ORPHANET.ORDO:1037	ORPHANET.ORDO:109007
ORPHANET.ORDO:103907	ORPHANET.ORDO:104006
ORPHANET.ORDO:103907	ORPHANET.ORDO:309001
ORPHANET.ORDO:103908	ORPHANET.ORDO:104003
ORPHANET.ORDO:103909	ORPHANET.ORDO:104006
ORPHANET.ORDO:103909	ORPHANET.ORDO:309001
ORPHANET.ORDO:103910	ORPHANET.ORDO:104007
ORPHANET.ORDO:103912	ORPHANET.ORDO:104007
ORPHANET.ORDO:103	owl:Thing
ORPHANET.ORDO:104003	ORPHANET.ORDO:165655
ORPHANET.ORDO:104004	ORPHANET.ORDO:165655
ORPHANET.ORDO:104004	EFO:0009554
ORPHANET.ORDO:104006	ORPHANET.ORDO:165655
ORPHANET.ORDO:104007	ORPHANET.ORDO:165655
ORPHANET.ORDO:104009	ORPHANET.ORDO:165655
ORPHANET.ORDO:104013	ORPHANET.ORDO:165655
ORPHANET.ORDO:104077	ORPHANET.ORDO:2978
ORPHANET.ORDO:104078	ORPHANET.ORDO:2978
ORPHANET.ORDO:1040	ORPHANET.ORDO:93430
ORPHANET.ORDO:1044	ORPHANET.ORDO:79191
ORPHANET.ORDO:1044	ORPHANET.ORDO:98374
ORPHANET.ORDO:1046	ORPHANET.ORDO:165707
ORPHANET.ORDO:1046	ORPHANET.ORDO:182043
ORPHANET.ORDO:1048	ORPHANET.ORDO:102283
ORPHANET.ORDO:1048	ORPHANET.ORDO:183763
ORPHANET.ORDO:1048	ORPHANET.ORDO:268357
ORPHANET.ORDO:104	owl:Thing
ORPHANET.ORDO:1051	owl:Thing
ORPHANET.ORDO:1052	ORPHANET.ORDO:183422
ORPHANET.ORDO:1052	ORPHANET.ORDO:68335
ORPHANET.ORDO:1059	ORPHANET.ORDO:140162
ORPHANET.ORDO:1059	ORPHANET.ORDO:183478
ORPHANET.ORDO:1059	ORPHANET.ORDO:211240
ORPHANET.ORDO:105	ORPHANET.ORDO:357506
ORPHANET.ORDO:1062	ORPHANET.ORDO:166487
ORPHANET.ORDO:1062	ORPHANET.ORDO:371436
ORPHANET.ORDO:1062	ORPHANET.ORDO:98196
ORPHANET.ORDO:1063	ORPHANET.ORDO:211240
ORPHANET.ORDO:1064	ORPHANET.ORDO:102283
ORPHANET.ORDO:1064	ORPHANET.ORDO:183763
ORPHANET.ORDO:1064	ORPHANET.ORDO:93547
ORPHANET.ORDO:1064	ORPHANET.ORDO:98557
ORPHANET.ORDO:1065	ORPHANET.ORDO:108987
ORPHANET.ORDO:1065	ORPHANET.ORDO:183763
ORPHANET.ORDO:1065	ORPHANET.ORDO:98557
ORPHANET.ORDO:1065	ORPHANET.ORDO:98638
ORPHANET.ORDO:1067	ORPHANET.ORDO:108987
ORPHANET.ORDO:1067	ORPHANET.ORDO:183763
ORPHANET.ORDO:1067	ORPHANET.ORDO:98557
ORPHANET.ORDO:1068	ORPHANET.ORDO:108987
ORPHANET.ORDO:1068	ORPHANET.ORDO:183763
ORPHANET.ORDO:1068	ORPHANET.ORDO:98557
ORPHANET.ORDO:1069	ORPHANET.ORDO:108987
ORPHANET.ORDO:1069	ORPHANET.ORDO:98557
ORPHANET.ORDO:1071	ORPHANET.ORDO:108987
ORPHANET.ORDO:1071	ORPHANET.ORDO:156237
ORPHANET.ORDO:1071	ORPHANET.ORDO:404574
ORPHANET.ORDO:1071	ORPHANET.ORDO:79373
ORPHANET.ORDO:1071	ORPHANET.ORDO:98565
ORPHANET.ORDO:1072	ORPHANET.ORDO:108987
ORPHANET.ORDO:1072	ORPHANET.ORDO:139039
ORPHANET.ORDO:1072	ORPHANET.ORDO:98565
ORPHANET.ORDO:1074	ORPHANET.ORDO:108987
ORPHANET.ORDO:1074	ORPHANET.ORDO:117573
ORPHANET.ORDO:1074	ORPHANET.ORDO:156237
ORPHANET.ORDO:1074	ORPHANET.ORDO:98565
ORPHANET.ORDO:1077	ORPHANET.ORDO:164001
ORPHANET.ORDO:1077	EFO:1001216
ORPHANET.ORDO:1078	ORPHANET.ORDO:69028
ORPHANET.ORDO:107	ORPHANET.ORDO:156202
ORPHANET.ORDO:107	ORPHANET.ORDO:156237
ORPHANET.ORDO:107	ORPHANET.ORDO:183576
ORPHANET.ORDO:107	ORPHANET.ORDO:330206
ORPHANET.ORDO:107	ORPHANET.ORDO:90642
ORPHANET.ORDO:107	ORPHANET.ORDO:93547
ORPHANET.ORDO:1083	ORPHANET.ORDO:48471
ORPHANET.ORDO:1084	ORPHANET.ORDO:102009
ORPHANET.ORDO:1088	ORPHANET.ORDO:330197
ORPHANET.ORDO:108959	ORPHANET.ORDO:88993
ORPHANET.ORDO:108963	ORPHANET.ORDO:97944
ORPHANET.ORDO:108965	ORPHANET.ORDO:97944
ORPHANET.ORDO:108967	ORPHANET.ORDO:97945
ORPHANET.ORDO:108969	ORPHANET.ORDO:97945
ORPHANET.ORDO:108971	ORPHANET.ORDO:183548
ORPHANET.ORDO:108973	ORPHANET.ORDO:183548
ORPHANET.ORDO:108985	ORPHANET.ORDO:183557
ORPHANET.ORDO:108987	ORPHANET.ORDO:183557
ORPHANET.ORDO:108993	ORPHANET.ORDO:183554
ORPHANET.ORDO:109007	ORPHANET.ORDO:404577
ORPHANET.ORDO:109011	ORPHANET.ORDO:183536
ORPHANET.ORDO:1092	ORPHANET.ORDO:330206
ORPHANET.ORDO:1092	ORPHANET.ORDO:93547
ORPHANET.ORDO:1094	ORPHANET.ORDO:330206
ORPHANET.ORDO:109	owl:Thing
ORPHANET.ORDO:10	owl:Thing
ORPHANET.ORDO:1101	ORPHANET.ORDO:330206
ORPHANET.ORDO:1104	ORPHANET.ORDO:330206
ORPHANET.ORDO:1106	ORPHANET.ORDO:108987
ORPHANET.ORDO:1106	ORPHANET.ORDO:330197
ORPHANET.ORDO:110	owl:Thing
ORPHANET.ORDO:1110	ORPHANET.ORDO:102283
ORPHANET.ORDO:1110	ORPHANET.ORDO:183763
