IRI	Direct	Inherited
http://purl.obolibrary.org/obo/HP_0000044	0	0
http://purl.obolibrary.org/obo/HP_0000046	0	0
http://purl.obolibrary.org/obo/HP_0000054	0	0
http://purl.obolibrary.org/obo/HP_0000059	0	0
http://purl.obolibrary.org/obo/HP_0000062	0	0
http://purl.obolibrary.org/obo/HP_0000069	0	0
http://purl.obolibrary.org/obo/HP_0000072	0	0
http://purl.obolibrary.org/obo/HP_0000077	0	16
http://purl.obolibrary.org/obo/HP_0000078	0	10
http://purl.obolibrary.org/obo/HP_0000079	0	30
http://purl.obolibrary.org/obo/HP_0000083	4	3
http://purl.obolibrary.org/obo/HP_0000085	0	0
http://purl.obolibrary.org/obo/HP_0000093	5	2
http://purl.obolibrary.org/obo/HP_0000098	0	0
http://purl.obolibrary.org/obo/HP_0000103	3	0
http://purl.obolibrary.org/obo/HP_0000107	0	0
http://purl.obolibrary.org/obo/HP_0000111	0	0
http://purl.obolibrary.org/obo/HP_0000112	0	0
http://purl.obolibrary.org/obo/HP_0000118	0	721
http://purl.obolibrary.org/obo/HP_0000121	0	0
http://purl.obolibrary.org/obo/HP_0000125	0	0
http://purl.obolibrary.org/obo/HP_0000130	0	2
http://purl.obolibrary.org/obo/HP_0000131	1	0
http://purl.obolibrary.org/obo/HP_0000132	0	0
http://purl.obolibrary.org/obo/HP_0000138	3	0
http://purl.obolibrary.org/obo/HP_0000152	0	60
http://purl.obolibrary.org/obo/HP_0000153	0	49
http://purl.obolibrary.org/obo/HP_0000154	0	0
http://purl.obolibrary.org/obo/HP_0000155	2	0
http://purl.obolibrary.org/obo/HP_0000157	1	1
http://purl.obolibrary.org/obo/HP_0000160	0	0
http://purl.obolibrary.org/obo/HP_0000161	0	0
http://purl.obolibrary.org/obo/HP_0000164	32	6
http://purl.obolibrary.org/obo/HP_0000171	0	0
http://purl.obolibrary.org/obo/HP_0000175	2	0
http://purl.obolibrary.org/obo/HP_0000179	0	0
